scenario,region,sector,subsector,year,value,reductions,type
stated policies scenario,world,total,total navigation (domestic and bunkers),2020,795.85,0,weo
announced pledges scenario,world,total,total navigation (domestic and bunkers),2020,795.85,0,weo
net zero emissions by 2050 scenario,world,total,total navigation (domestic and bunkers),2020,795.85,0,weo
stated policies scenario,world,total,total navigation (domestic and bunkers),2030,904.98,-0.13712383,weo
announced pledges scenario,world,total,total navigation (domestic and bunkers),2030,778.33,0.022014199,weo
net zero emissions by 2050 scenario,world,total,total navigation (domestic and bunkers),2030,673.37,0.153898348,weo
stated policies scenario,world,total,total navigation (domestic and bunkers),2040,978.64,-0.22967896,weo
announced pledges scenario,world,total,total navigation (domestic and bunkers),2040,524.75,0.340642081,weo
net zero emissions by 2050 scenario,world,total,total navigation (domestic and bunkers),2040,303.78,0.618294905,weo
stated policies scenario,world,total,total navigation (domestic and bunkers),2050,1144.94,-0.438637934,weo
announced pledges scenario,world,total,total navigation (domestic and bunkers),2050,361.89,0.545278633,weo
net zero emissions by 2050 scenario,world,total,total navigation (domestic and bunkers),2050,107.1,0.865426902,weo
stated policies scenario,world,total,transport,2020,7112.95,0,weo
announced pledges scenario,world,total,transport,2020,7112.95,0,weo
net zero emissions by 2050 scenario,world,total,transport,2020,7112.95,0,weo
stated policies scenario,world,total,transport,2030,8471.76,-0.191033256,weo
announced pledges scenario,world,total,transport,2030,7616.07,-0.070732959,weo
net zero emissions by 2050 scenario,world,total,transport,2030,5687.01,0.200470972,weo
stated policies scenario,world,total,transport,2040,8570.57,-0.20492482,weo
announced pledges scenario,world,total,transport,2040,5556.61,0.218803731,weo
net zero emissions by 2050 scenario,world,total,transport,2040,2258.2,0.682522723,weo
stated policies scenario,world,total,transport,2050,8699.66,-0.223073408,weo
announced pledges scenario,world,total,transport,2050,4024.76,0.434164447,weo
net zero emissions by 2050 scenario,world,total,transport,2050,535.16,0.924762581,weo
