scenario,region,sector,subsector,year,value,reductions,type
net zero emissions by 2050 scenario,world,total,buildings,2030,1631.91,0.427530563,weo
stated policies scenario,world,total,buildings,2040,2446.36,0.141823795,weo
announced pledges scenario,world,total,buildings,2040,1434.38,0.496823531,weo
stated policies scenario,world,coal,total final consumption,2020,4474.28,0,weo
stated policies scenario,world,coal,total final consumption,2030,4458.24,0.003584934,weo
stated policies scenario,world,coal,total final consumption,2040,4170.37,0.067923778,weo
stated policies scenario,world,coal,total final consumption,2050,3829.98,0.144000822,weo
stated policies scenario,world,oil,total final consumption,2020,9080.06,0,weo
stated policies scenario,world,oil,total final consumption,2030,10455.5,-0.151479175,weo
stated policies scenario,world,oil,total final consumption,2040,10388.4,-0.144089356,weo
stated policies scenario,world,oil,total final consumption,2050,10331.1,-0.137778825,weo
stated policies scenario,world,natural gas,total final consumption,2020,3320.85,0,weo
stated policies scenario,world,natural gas,total final consumption,2030,3800.01,-0.14428836,weo
stated policies scenario,world,natural gas,total final consumption,2040,3929.05,-0.183145881,weo
stated policies scenario,world,natural gas,total final consumption,2050,3904.12,-0.175638767,weo
stated policies scenario,world,bioenergy and waste,total final consumption,2020,113.5,0,weo
stated policies scenario,world,bioenergy and waste,total final consumption,2030,100.04,0.118590308,weo
stated policies scenario,world,bioenergy and waste,total final consumption,2040,101,0.110132159,weo
stated policies scenario,world,bioenergy and waste,total final consumption,2050,93.65,0.174889868,weo
net zero emissions by 2050 scenario,world,total,buildings,2040,474.58,0.833518671,weo
stated policies scenario,world,total,buildings,2050,2293.41,0.195478224,weo
announced pledges scenario,world,total,buildings,2050,1029.49,0.638857804,weo
net zero emissions by 2050 scenario,world,total,buildings,2050,55.36,0.980579868,weo
stated policies scenario,world,total,chemicals,2020,1286.79,0,weo
announced pledges scenario,world,total,chemicals,2020,1286.79,0,weo
net zero emissions by 2050 scenario,world,total,chemicals,2020,1286.79,0,weo
stated policies scenario,world,total,chemicals,2030,1492.19,-0.159622005,weo
announced pledges scenario,world,total,chemicals,2030,1314.62,-0.021627461,weo
net zero emissions by 2050 scenario,world,total,chemicals,2030,1137.24,0.11621943,weo
stated policies scenario,world,total,chemicals,2040,1492,-0.159474351,weo
announced pledges scenario,world,total,chemicals,2040,925.04,0.281125902,weo
net zero emissions by 2050 scenario,world,total,chemicals,2040,545.83,0.575820452,weo
stated policies scenario,world,total,chemicals,2050,1429.13,-0.11061634,weo
announced pledges scenario,world,total,chemicals,2050,547.97,0.574157399,weo
net zero emissions by 2050 scenario,world,total,chemicals,2050,38.48,0.970096131,weo
stated policies scenario,world,total,industry,2020,9132.22,0,weo
announced pledges scenario,world,total,industry,2020,9132.22,0,weo
net zero emissions by 2050 scenario,world,total,industry,2020,9132.22,0,weo
stated policies scenario,world,total,industry,2030,10036.5,-0.09902083,weo
announced pledges scenario,world,total,industry,2030,8569.29,0.061642186,weo
net zero emissions by 2050 scenario,world,total,industry,2030,7167.71,0.215118558,weo
stated policies scenario,world,total,industry,2040,10060.7,-0.101670788,weo
announced pledges scenario,world,total,industry,2040,6233.7,0.317394894,weo
net zero emissions by 2050 scenario,world,total,industry,2040,3246.05,0.644549737,weo
stated policies scenario,world,total,industry,2050,9669.44,-0.058826879,weo
announced pledges scenario,world,total,industry,2050,3946.03,0.567900248,weo
net zero emissions by 2050 scenario,world,total,industry,2050,395.78,0.95666114,weo
stated policies scenario,world,total,iron and steel,2020,2724.26,0,weo
announced pledges scenario,world,total,iron and steel,2020,2724.26,0,weo
net zero emissions by 2050 scenario,world,total,iron and steel,2020,2724.26,0,weo
stated policies scenario,world,total,iron and steel,2030,2929,-0.075154354,weo
announced pledges scenario,world,total,iron and steel,2030,2511.52,0.078090931,weo
net zero emissions by 2050 scenario,world,total,iron and steel,2030,2090.54,0.232620969,weo
stated policies scenario,world,total,iron and steel,2040,2797.7,-0.026957779,weo
announced pledges scenario,world,total,iron and steel,2040,1807.75,0.336425304,weo
net zero emissions by 2050 scenario,world,total,iron and steel,2040,965.05,0.645757013,weo
stated policies scenario,world,total,iron and steel,2050,2652.97,0.026168574,weo
announced pledges scenario,world,total,iron and steel,2050,1119.84,0.588937913,weo
net zero emissions by 2050 scenario,world,total,iron and steel,2050,176.88,0.935072277,weo
stated policies scenario,world,total,non-metallic minerals: cement,2020,2458.33,0,weo
announced pledges scenario,world,total,non-metallic minerals: cement,2020,2458.33,0,weo
net zero emissions by 2050 scenario,world,total,non-metallic minerals: cement,2020,2458.33,0,weo
stated policies scenario,world,total,non-metallic minerals: cement,2030,2648.17,-0.077223156,weo
announced pledges scenario,world,total,non-metallic minerals: cement,2030,2328.63,0.052759394,weo
net zero emissions by 2050 scenario,world,total,non-metallic minerals: cement,2030,1910.46,0.222862675,weo
stated policies scenario,world,total,non-metallic minerals: cement,2040,2699.14,-0.097956743,weo
announced pledges scenario,world,total,non-metallic minerals: cement,2040,1758.41,0.284713606,weo
net zero emissions by 2050 scenario,world,total,non-metallic minerals: cement,2040,869.02,0.64649986,weo
stated policies scenario,world,total,non-metallic minerals: cement,2050,2585.3,-0.051648884,weo
announced pledges scenario,world,total,non-metallic minerals: cement,2050,1084.1,0.559009572,weo
net zero emissions by 2050 scenario,world,total,non-metallic minerals: cement,2050,75.5,0.969288094,weo
stated policies scenario,world,total,other energy sector,2020,1487.18,0,weo
announced pledges scenario,world,total,other energy sector,2020,1487.18,0,weo
net zero emissions by 2050 scenario,world,total,other energy sector,2020,1487.18,0,weo
stated policies scenario,world,total,other energy sector,2030,1698.37,-0.14200702,weo
announced pledges scenario,world,total,other energy sector,2030,1334.09,0.102939792,weo
net zero emissions by 2050 scenario,world,total,other energy sector,2030,965.62,0.350704017,weo
stated policies scenario,world,total,other energy sector,2040,1695.49,-0.140070469,weo
announced pledges scenario,world,total,other energy sector,2040,730.29,0.5089431,weo
announced pledges scenario,world,coal,total energy supply,2020,14335.2,0,weo
announced pledges scenario,world,coal,total energy supply,2030,11881.3,0.171180032,weo
announced pledges scenario,world,coal,total energy supply,2040,6594.46,0.539981305,weo
announced pledges scenario,world,coal,total energy supply,2050,2973.15,0.792597941,weo
announced pledges scenario,world,oil,total energy supply,2020,10193.7,0,weo
